0 0 0 0
19200 19200 19200 19200
31052 31052 31052 31052
31024 31024 31024 31024
19120 19120 19120 19120
-100 -100 -100 -100
-19280 -19280 -19280 -19280
-31084 -31084 -31084 -31084
-30992 -30992 -30992 -30992
-19040 -19040 -19040 -19040
200 200 200 200
19364 19364 19364 19364
31112 31112 31112 31112
30960 30960 30960 30960
18956 18956 18956 18956
-300 -300 -300 -300
-19444 -19444 -19444 -19444
-31144 -31144 -31144 -31144
-30928 -30928 -30928 -30928
-18876 -18876 -18876 -18876
400 400 400 400
19524 19524 19524 19524
31172 31172 31172 31172
30896 30896 30896 30896
18792 18792 18792 18792
-500 -500 -500 -500
-19604 -19604 -19604 -19604
-31204 -31204 -31204 -31204
-30864 -30864 -30864 -30864
-18712 -18712 -18712 -18712
600 600 600 600
19684 19684 19684 19684
31232 31232 31232 31232
30832 30832 30832 30832
18628 18628 18628 18628
-700 -700 -700 -700
-19764 -19764 -19764 -19764
-31260 -31260 -31260 -31260
-30796 -30796 -30796 -30796
-18548 -18548 -18548 -18548
800 800 800 800
19844 19844 19844 19844
31292 31292 31292 31292
30764 30764 30764 30764
18464 18464 18464 18464
-900 -900 -900 -900
-19920 -19920 -19920 -19920
-31320 -31320 -31320 -31320
-30732 -30732 -30732 -30732
-18380 -18380 -18380 -18380
1000 1000 1000 1000
20000 20000 20000 20000
31348 31348 31348 31348
30696 30696 30696 30696
18300 18300 18300 18300
-1100 -1100 -1100 -1100
-20080 -20080 -20080 -20080
-31372 -31372 -31372 -31372
-30660 -30660 -30660 -30660
-18216 -18216 -18216 -18216
1200 1200 1200 1200
20160 20160 20160 20160
31400 31400 31400 31400
30628 30628 30628 30628
18132 18132 18132 18132
-1300 -1300 -1300 -1300
-20236 -20236 -20236 -20236
-31428 -31428 -31428 -31428
-30592 -30592 -30592 -30592
-18048 -18048 -18048 -18048
1400 1400 1400 1400
20316 20316 20316 20316
31456 31456 31456 31456
30560 30560 30560 30560
17964 17964 17964 17964
-1500 -1500 -1500 -1500
-20396 -20396 -20396 -20396
-31484 -31484 -31484 -31484
-30524 -30524 -30524 -30524
-17880 -17880 -17880 -17880
1600 1600 1600 1600
20472 20472 20472 20472
31508 31508 31508 31508
30488 30488 30488 30488
17800 17800 17800 17800
-1700 -1700 -1700 -1700
-20552 -20552 -20552 -20552
-31536 -31536 -31536 -31536
-30452 -30452 -30452 -30452
-17716 -17716 -17716 -17716
1800 1800 1800 1800
20628 20628 20628 20628
31560 31560 31560 31560
30416 30416 30416 30416
17628 17628 17628 17628
-1900 -1900 -1900 -1900
-20704 -20704 -20704 -20704
-31584 -31584 -31584 -31584
-30380 -30380 -30380 -30380
-17548 -17548 -17548 -17548
2000 2000 2000 2000
20784 20784 20784 20784
31612 31612 31612 31612
30344 30344 30344 30344
17460 17460 17460 17460
-2100 -2100 -2100 -2100
-20860 -20860 -20860 -20860
-31636 -31636 -31636 -31636
-30304 -30304 -30304 -30304
-17376 -17376 -17376 -17376
2200 2200 2200 2200
20936 20936 20936 20936
31660 31660 31660 31660
30268 30268 30268 30268
17292 17292 17292 17292
-2300 -2300 -2300 -2300
-21012 -21012 -21012 -21012
-31684 -31684 -31684 -31684
-30228 -30228 -30228 -30228
-17208 -17208 -17208 -17208
2400 2400 2400 2400
21092 21092 21092 21092
31708 31708 31708 31708
30192 30192 30192 30192
17120 17120 17120 17120
-2500 -2500 -2500 -2500
-21164 -21164 -21164 -21164
-31732 -31732 -31732 -31732
-30152 -30152 -30152 -30152
-17036 -17036 -17036 -17036
2600 2600 2600 2600
21244 21244 21244 21244
31756 31756 31756 31756
30116 30116 30116 30116
16952 16952 16952 16952
-2700 -2700 -2700 -2700
-21320 -21320 -21320 -21320
-31776 -31776 -31776 -31776
-30076 -30076 -30076 -30076
-16864 -16864 -16864 -16864
2800 2800 2800 2800
21396 21396 21396 21396
31800 31800 31800 31800
30036 30036 30036 30036
16780 16780 16780 16780
-2900 -2900 -2900 -2900
-21468 -21468 -21468 -21468
-31824 -31824 -31824 -31824
-30000 -30000 -30000 -30000
-16692 -16692 -16692 -16692
3000 3000 3000 3000
21544 21544 21544 21544
31844 31844 31844 31844
29960 29960 29960 29960
16608 16608 16608 16608
-3100 -3100 -3100 -3100
-21620 -21620 -21620 -21620
-31868 -31868 -31868 -31868
-29920 -29920 -29920 -29920
-16520 -16520 -16520 -16520
3200 3200 3200 3200
21696 21696 21696 21696
31888 31888 31888 31888
29880 29880 29880 29880
16436 16436 16436 16436
